chembl_id,smiles,name,molecular_weight,is_approved,targets
197,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,,427.02941493999987,False,[]
198,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,,589.0822383599998,False,[]
200,NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1N,,338.06275007000005,False,[]
201,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,,654.38142752,False,[]
202,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,,586.3188272639999,False,[]
203,NC(=O)NC(NC(N)=O)C(=O)O,,176.054554736,False,[]
204,NC(=O)NC1NC(=O)NC1=O,,158.043990052,False,[]
206,OCC1OC(O)C(O)C(O)C1O,,180.063388104,False,[]
208,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,,260.02971862600003,False,[]
210,CC(=O)NC1C(O)OC(CO)C(OC2OC(COC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O3)C(O)C(O)C2O)C1O,,674.238177124,False,[]
211,Cc1cc2ncn(C3OC(CO)C(O)C3O)c2cc1C,,278.126657056,False,[]
212,Cc1cc2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2cc1C,,358.092987578,False,[]
213,CCCCCC(O)C=CC1OC2CC(O2)C1CC=CCCCC(=O)O,,352.2249741239999,False,[]
214,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,,354.2406241879999,False,[]
216,Cc1ncc(COP(=O)(O)O)c(N)n1,,219.04089242999999,False,[]
217,Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1,,299.00722295200006,False,[]
220,CCOP(=S)(OCC)Oc1ccc(N)cc1,,261.058851002,False,[]
221,Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O,,276.106984232,False,[]
224,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,,347.0630844179999,False,[]
225,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,,290.2245802,False,[]
228,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(O)C1O,,427.0198992779998,False,[]
229,OC1COC(O)C(O)C1O,,150.05282342,False,[]
230,O=CC(O)C(O)C(O)COP(=O)(O)O,,230.019153942,False,[]
231,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,,304.240230264,False,[]
232,NC(N)=NCCCC(N)C(=O)O,,174.111675688,False,[]
237,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,399.20774026,False,[]
238,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,,506.9957454619998,False,[]
245,CC(=O)NC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,,383.14276061999993,False,[]
246,CC12CCC3C(CCC4CC(OS(=O)(=O)O)CCC43C)C1CCC2=O,,370.18139506,False,[]
